id,attore1,attore2,attore3,regista,sceneggiatore
451,Nicolas Cage,Elisabeth Shue,Julian Sands,Mike Figgis,Mike Figgis
16420,Laurence Fishburne,Irène Jacob,Kenneth Branagh,Oliver Parker,Mike Figgis
9263,Christina Ricci,Rosie O'Donnell,Thora Birch,Lesli Linka Glatter,I. Marlene King
17015,Amanda Root,Ciarán Hinds,Susan Fleetwood,Roger Michell,Nick Dear
902,Ron Perlman,Dominique Pinon,Judith Vittet,Jean-Pierre Jeunet,Jean-Pierre Jeunet
37557,Gong Li,Li Bao-Tian,Wang Xiaoxiao,Zhang Yimou,Jean-Pierre Jeunet
9909,Michelle Pfeiffer,George Dzundza,Courtney B. Vance,John N. Smith,Ronald Bass
63,Bruce Willis,Madeleine Stowe,Brad Pitt,Terry Gilliam,David Webb Peoples
78802,Craig Sheffer,Elizabeth McGovern,Tom Hulce,Jean-Jacques Annaud,Alain Godard
9598,Christine Cavanaugh,Miriam Margolyes,Danny Mann,Chris Noonan,George Miller
47018,Emma Thompson,Jonathan Pryce,Steven Waddington,Christopher Hampton,Christopher Hampton
687,Susan Sarandon,Sean Penn,Robert Prosky,Tim Robbins,Tim Robbins
139405,Peter Reznick,John McDonough,Avi Hoffman,Stephen Low,Tim Robbins
33689,Kirstie Alley,Steve Guttenberg,Ashley Olsen,Andy Tennant,Tim Robbins
9603,Alicia Silverstone,Stacey Dash,Brittany Murphy,Amy Heckerling,Amy Heckerling
34615,James Earl Jones,Charles S. Dutton,Jack Robinson,Darrell James Roodt,Amy Heckerling
31174,Ian McKellen,Annette Bening,Jim Broadbent,Richard Loncraine,Amy Heckerling
11443,Larenz Tate,Keith David,Chris Tucker,Albert Hughes,Michael Henry Brown
35196,Robert Downey Jr.,Meg Ryan,Sam Neill,Michael Hoffman,Michael Henry Brown
9312,Christopher Lambert,Robin Shou,Linden Ashby,Paul W.S. Anderson,Ed Boon
577,Nicole Kidman,Matt Dillon,Joaquin Phoenix,Gus Van Sant,Buck Henry
11861,Winona Ryder,Anne Bancroft,Ellen Burstyn,Jocelyn Moorhouse,Jane Anderson
807,Brad Pitt,Morgan Freeman,Gwyneth Paltrow,David Fincher,Andrew Kevin Walker
10530,Irene Bedard,Mel Gibson,David Ogden Stiers,Mike Gabriel,Susannah Grant
8391,Pascale Bussières,Rachael Crawford,Henry Czerny,Patricia Rozema,Patricia Rozema
629,Stephen Baldwin,Gabriel Byrne,Chazz Palminteri,Bryan Singer,Patricia Rozema
117164,Cynthia Rothrock,Marshall R. Teague,Daniel McVicar,Richard W. Munchkin,Patricia Rozema
11448,Woody Allen,Mira Sorvino,Helena Bonham Carter,Woody Allen,Woody Allen
49133,Enrico Lo Verso,Michele Placido,Piro Milkani,Gianni Amelio,Gianni Amelio
26441,Steve Guttenberg,Olivia d'Abo,Jay O. Sanders,Holly Goldberg Sloan,Gianni Amelio
97406,Jennifer Jason Leigh,Mare Winningham,Ted Levine,Ulu Grosbard,Barbara Turner
124057,Johnny Morina,Malcolm McDowell,Maggie Castle,Robert Tinnell,David Sherman
9089,Holly Hunter,Robert Downey Jr.,Anne Bancroft,Jodie Foster,Chris Radant
11010,Philippe Noiret,Massimo Troisi,Maria Grazia Cucinotta,Michael Radford,Furio Scarpelli
99040,Lothaire Bluteau,Patrick Goyette,Jean-Louis Millette,Robert Lepage,Furio Scarpelli
11359,Hal Scardino,Litefoot,Lindsay Crouse,Frank Oz,Melissa Mathison
17182,Sally Field,Kiefer Sutherland,Ed Harris,John Schlesinger,Melissa Mathison
2054,Richard Dreyfuss,Glenne Headly,Jay Thomas,Stephen Herek,Patrick Sheane Duncan
10607,Shawn Wayans,Marlon Wayans,Tracey Cherelle Jones,Paris Barclay,Shawn Wayans
19760,Sandra Bullock,Denis Leary,Yaphet Kotto,Bill Bennett,Shawn Wayans
9536,Pauly Shore,Stephen Baldwin,Joey Lauren Adams,Jason Bloom,Shawn Wayans
11525,Patrick Bergin,Matt Frewer,Austin O'Brien,Farhad Mann,Farhad Mann
40628,Jerry Barone,Al Pacino,Mary Elizabeth Mastrantonio,James Foley,Farhad Mann
4482,Victoria Abril,Josiane Balasko,Alain Chabat,Josiane Balasko,Josiane Balasko
10634,Ice Cube,Chris Tucker,Nia Long,F. Gary Gray,DJ Pooh
755,George Clooney,Quentin Tarantino,Harvey Keitel,Robert Rodriguez,Quentin Tarantino
11859,William Baldwin,Cindy Crawford,Steven Berkoff,Andrew Sipes,Charlie Fletcher
28387,Josh Hamilton,Olivia d'Abo,Carlos Jacott,Noah Baumbach,Charlie Fletcher
48750,Jean-Paul Belmondo,Michel Boujenah,Alessandra Martines,Claude Lelouch,Charlie Fletcher
20927,Christian Slater,Mary Stuart Masterson,Pamela Adlon,Michael Goldenberg,Charlie Fletcher
36929,Rick Moranis,Tom Arnold,Julianne Phillips,Steve Miner,Charlie Fletcher
9102,Peter Weller,Roy Dupuis,Jennifer Rubin,Christian Duguay,Dan O'Bannon
124626,Nico,Tina Aumont,Jackson Browne,Susanne Ofteringer,Dan O'Bannon
27526,Jack Nicholson,David Morse,Anjelica Huston,Sean Penn,Dan O'Bannon
9623,Demi Moore,Alec Baldwin,Joseph Gordon-Levitt,Brian Gibson,Ted Tally
46785,Aida Mohammadkhani,Mohsen Kafili,Fereshteh Sadre Orafaiy,Jafar Panahi,Ted Tally
400,Andy García,Christopher Lloyd,William Forsythe,Gary Fleder,Scott Rosenberg
880,Willeke van Ammelrooy,Els Dottermans,Dora van der Groen,Marleen Gorris,Marleen Gorris
146599,"Al Freeman, Jr.",Phylicia Rashād,Paula Kelly,Tim Reid,Paul W. Cooper
188588,Victoria Foyt,Viveca Lindfors,Jon Robin Baitz,Henry Jaglom,Paul W. Cooper
8447,Mark Rylance,Kristin Scott Thomas,Patsy Kensit,Philip Haas,Philip Haas
10534,Jeff Bridges,Caroline Goodall,John Savage,Ridley Scott,Todd Robinson
17414,Jason Alexander,Faye Dunaway,Eric Lloyd,Ken Kwapis,John Hopkins
13997,Chris Farley,David Spade,Grant Heslov,Penelope Spheeris,John Hopkins
2086,Johnny Depp,Courtney Chase,Charles S. Dutton,John Badham,Patrick Sheane Duncan
61548,Jason Patric,Thandie Newton,Larry Drake,John Duigan,Patrick Sheane Duncan
9095,Julia Roberts,John Malkovich,George Cole,Stephen Frears,Christopher Hampton
12158,Eddie Murphy,Angela Bassett,Allen Payne,Wes Craven,Charlie Murphy
9283,Matt Dillon,Noah Emmerich,Annabeth Gish,Ted Demme,Scott Rosenberg
9208,John Travolta,Christian Slater,Samantha Mathis,John Woo,Graham Yost
40154,Richard Briers,Joan Collins,Michael Maloney,Kenneth Branagh,Kenneth Branagh
406,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Mathieu Kassovitz,Mathieu Kassovitz
45549,Sadie Frost,Jude Law,Sean Pertwee,Paul W.S. Anderson,Mathieu Kassovitz
63076,Nick Broomfield,Heidi Fleiss,Madam Alex,Nick Broomfield,Mathieu Kassovitz
11062,Al Pacino,John Cusack,Bridget Fonda,Harold Becker,Ken Lipper
13685,Luke Wilson,Owen Wilson,Lumi Cavazos,Wes Anderson,Wes Anderson
47475,Ellen DeGeneres,Bill Pullman,Joan Cusack,Nick Castle,Wes Anderson
2045,Ray Liotta,Linda Fiorentino,Peter Coyote,John Dahl,Bill Geddie
9614,Adam Sandler,Ben Stiller,Christopher McDonald,Dennis Dugan,Tim Herlihy
688,Meryl Streep,Clint Eastwood,Annie Corley,Clint Eastwood,Richard LaGravenese
11907,Maria Schrader,Pierre Sanoussi-Bliss,Michael von Au,Doris Dörrie,Doris Dörrie
10874,Tim Curry,Kevin Bishop,Jennifer Saunders,Brian Henson,Jerry Juhl
89333,Christy Turlington,Azzedine Alaïa,Giorgio Armani,Robert Leacock,Jerry Juhl
96357,Raymond J. Barry,Rustam Branaman,Jennifer MacDonald,James Bruce,Jerry Juhl
197,Mel Gibson,Catherine McCormack,Sophie Marceau,Mel Gibson,Randall Wallace
103,Robert De Niro,Cybill Shepherd,Harvey Keitel,Martin Scorsese,Randall Wallace
33542,Jackie Chan,Anita Mui,Françoise Yip,Stanley Tong,Randall Wallace
43566,Meryl Streep,Liam Neeson,Edward Furlong,Barbet Schroeder,Randall Wallace
71754,Helena Bonham Carter,Clive Russell,Craig Olejnik,Mort Ransen,Mort Ransen
43612,Michel Serrault,Eddy Mitchell,Sabine Azéma,Étienne Chatiliez,Mort Ransen
51352,Kenneth Branagh,Glenn Close,,Jon Blair,Mort Ransen
16934,Tobias Arnold,Ruth Sheen,Roger Lloyd Pack,Benjamin Ross,Mort Ransen
10324,Sarah Jessica Parker,Elle Macpherson,Scarlett Johansson,Eric Schaeffer,Eric Schaeffer
78406,Andy García,Alan Arkin,Rachel Ticotin,Andrew Davis,Andrew Davis
55731,Halle Berry,Jim Belushi,Casey Affleck,Charles T. Kanganis,Andrew Davis
32119,Henry Czerny,Johnny Morina,Brian Dooley,John N. Smith,Andrew Davis
11066,Eddie Murphy,Robin Givens,Halle Berry,Reginald Hudlin,Barry W. Blaustein
11104,Brigitte Lin,Tony Leung Chiu-Wai,Faye Wong,Wong Kar-wai,Wong Kar-wai
37975,Sergio Castellitto,Tiziana Lodato,Franco Scaldati,Giuseppe Tornatore,Wong Kar-wai
2074,Ben Stiller,Patricia Arquette,Téa Leoni,David O. Russell,Wong Kar-wai
27793,Jason James Richter,Melody Kay,Kevin McNulty,Peter MacDonald,Jeff Lieberman
44284,Amel Hedhili,Najia Ouerghi,Fatima Ben Saïdane,Moufida Tlatli,Jeff Lieberman
290157,Maggie Cogan,,,Michel Negroponte,Jeff Lieberman
110972,Josh Charles,Anne Heche,John Goodman,Bryan Gordon,Jeff Lieberman
32622,Miranda Rhyne,Charlotte Eve Blythe,Anna Levine,Rebecca Miller,Jeff Lieberman
73067,Matt Dillon,Corban Walker,Gabriel Byrne,Michael Lindsay-Hogg,Ronan O'Leary
11863,David Caruso,Linda Fiorentino,Chazz Palminteri,William Friedkin,Joe Eszterhas
55475,Luisito Marti,Alfonso Zayas,Caridad Ravelo,Ángel Muñiz,Joe Eszterhas
124636,Lloyd Dunn,Chris Grigg,Mark Hosler,Craig Baldwin,Joe Eszterhas
9101,Kelsey Grammer,Lauren Holly,Rob Schneider,David S. Ward,Hugh Wilson
123360,Jean Seberg,Mary Beth Hurt,,Mark Rappaport,Hugh Wilson
5757,Dirk Shafer,Mary Stein,Claudette Sutherland,Dirk Shafer,Hugh Wilson
39428,Jacob Tierney,Drake Bell,Gena Rowlands,Terence Davies,Hugh Wilson
124639,,,,Sandip Ray,Hugh Wilson
9302,Robert Redford,Michelle Pfeiffer,Stockard Channing,Jon Avnet,Joan Didion
11000,Robin Williams,Gene Hackman,Nathan Lane,Mike Nichols,Elaine May
249882,Martin Sheen,Michael York,Morgan Fairchild,Jakov Sedlar,Elaine May
16388,Shari Albert,Maxine Bahns,Catharine Bolz,Edward Burns,Edward Burns
9737,Will Smith,Martin Lawrence,Téa Leoni,Michael Bay,Doug Richardson
30765,Stephen Lang,Ryan Slater,Yi Ding,Christopher Cain,Jeff Rothberg
10474,Leonardo DiCaprio,Lorraine Bracco,James Madio,Scott Kalvert,Bryan Goluboff
22279,Alan Rickman,Hugh Grant,Georgina Cates,Mike Newell,Bryan Goluboff
30157,Isabelle Huppert,Martin Donovan,Elina Löwensohn,Hal Hartley,Bryan Goluboff
568,Tom Hanks,Bill Paxton,Kevin Bacon,Ron Howard,William Broyles Jr.
11780,Liam Neeson,Jessica Lange,John Hurt,Michael Caton-Jones,Alan Sharp
34996,Lili Taylor,Christopher Walken,Annabella Sciorra,Abel Ferrara,Alan Sharp
414,Val Kilmer,Tommy Lee Jones,Jim Carrey,Joel Schumacher,Akiva Goldsman
649,Catherine Deneuve,Michel Piccoli,Jean Sorel,Luis Buñuel,Luis Buñuel
1873,Patricia Arquette,Frances McDormand,U Aung Ko,John Boorman,Alex Lasker
5894,Harvey Keitel,Lou Reed,Michael J. Fox,Paul Auster,Wayne Wang
1775,John Candy,Alan Alda,Rhea Perlman,Michael Moore,Michael Moore
8839,Christina Ricci,Bill Pullman,Cathy Moriarty,Brad Silberling,Michael Moore
20649,Harvey Keitel,John Turturro,Delroy Lindo,Spike Lee,Spike Lee
10329,Laura Linney,Dylan Walsh,Ernie Hudson,Frank Marshall,John Patrick Shanley
8963,Denzel Washington,Gene Hackman,Matt Craven,Tony Scott,Michael Schiffer
26564,Robert Crumb,Aline Kominsky,Charles Crumb,Terry Zwigoff,Michael Schiffer
8068,Antonio Banderas,Salma Hayek,Joaquim de Almeida,Robert Rodriguez,Robert Rodriguez
8512,Denzel Washington,Tom Sizemore,Jennifer Beals,Carl Franklin,Carl Franklin
1572,Bruce Willis,Jeremy Irons,Samuel L. Jackson,John McTiernan,Jonathan Hensleigh
13552,Rose McGowan,James Duval,Johnathon Schaech,Gregg Araki,Jonathan Hensleigh
259209,Embeth Davidtz,Tom Bell,Gemma Jones,Christopher Menaul,Christopher Neame
6520,Sean Connery,Richard Gere,Julia Ormond,Jerry Zucker,William Nicholson
9073,Jason James Richter,Michael Madsen,Jayne Atkinson,Dwight H. Little,Karen Janszen
10428,Jonny Lee Miller,Angelina Jolie,Jesse Bradford,Iain Softley,Karen Janszen
17447,Steven Weber,Patrick Stewart,Michael T. Weiss,Christopher Ashley,Paul Rudnick
9886,Keanu Reeves,Dina Meyer,Takeshi Kitano,Robert Longo,Paul Rudnick
9482,Sylvester Stallone,Diane Lane,Armand Assante,Danny Cannon,William Wisher Jr.
19326,Pauly Shore,Tia Carrere,Stanley Tucci,John Fortenberry,Neil Tolkin
9344,Leo Fitzpatrick,Rosario Dawson,Chloë Sevigny,Larry Clark,Harmony Korine
9071,Steve Buscemi,Catherine Keener,Dermot Mulroney,Tom DiCillo,Tom DiCillo
8973,Scott Bakula,Kevin J. O'Connor,Famke Janssen,Clive Barker,Tom DiCillo
15730,Thomas Gibson,Ruth Marshall,Cameron Bancroft,Denys Arcand,Brad Fraser
47608,Chris O'Donnell,Drew Barrymore,Matthew Lillard,Antonia Bird,Brad Fraser
2293,Jason Lee,Jeremy London,Shannen Doherty,Kevin Smith,Brad Fraser
9070,Amy Jo Johnson,Jason David Frank,David Yost,Bryan Spicer,John Kamps
68274,Elizabeth Perkins,Gwyneth Paltrow,Kathleen Turner,David Anspaugh,Ellen Simon
48787,Marina Zudina,Fay Ripley,Evan Richards,Anthony Waller,Anthony Waller
34574,Elina Löwensohn,Peter Fonda,David Lynch,Michael Almereyda,Michael Almereyda
1642,Sandra Bullock,Jeremy Northam,Dennis Miller,Irwin Winkler,John D. Brancato
11472,Hugh Grant,Julianne Moore,Tom Arnold,Chris Columbus,Chris Columbus
36196,Parker Posey,Liev Schreiber,Anthony DeSando,Daisy von Scherler Mayer,Harry Birckmayer
11980,Christopher Walken,Elias Koteas,Virginia Madsen,Gregory Widen,Gregory Widen
58372,Mia Farrow,Tony Goldwyn,Scott Glenn,Norman René,Gregory Widen
32646,Julianne Moore,Xander Berkeley,Dean Norris,Todd Haynes,Gregory Widen
10533,Demi Moore,Gary Oldman,Robert Duvall,Roland Joffé,Douglas Day Stewart
56088,Kurtis Blow,Sean Combs,Snoop Dogg,Roland Joffé,Douglas Day Stewart
10802,Elizabeth Berkley,Kyle MacLachlan,Gina Gershon,Paul Verhoeven,Joe Eszterhas
10149,Harvey Keitel,William Hurt,Giancarlo Esposito,Wayne Wang,Joe Eszterhas
18402,Julia Roberts,Dennis Quaid,Robert Duvall,Lasse Hallström,Joe Eszterhas
9348,Natasha Henstridge,Ben Kingsley,Michael Madsen,Roger Donaldson,Joe Eszterhas
139408,Robert Duvall,Aidan Quinn,Frances Fisher,James Keach,Philip Railsback
281,Ralph Fiennes,Angela Bassett,Tom Sizemore,Kathryn Bigelow,James Cameron
5967,Catherine Deneuve,Nino Castelnuovo,Anne Vernon,Jacques Demy,Jacques Demy
79593,Daryl Hannah,Keith Carradine,Moira Kelly,Wesley Strick,Jacques Demy
47939,Patrick Swayze,Mary Elizabeth Mastrantonio,Joseph Mazzello,Martha Coolidge,Elizabeth Anderson
36834,Leonardo DiCaprio,David Thewlis,Romane Bohringer,Agnieszka Holland,Christopher Hampton
9090,Patrick Swayze,Wesley Snipes,John Leguizamo,Beeban Kidron,Douglas Carter Beane
3512,Steven Seagal,Eric Bogosian,Everett McGill,Geoff Murphy,Richard Hatem
52856,Andie MacDowell,John Turturro,Michael Richards,Diane Keaton,Richard LaGravenese
77350,Sandra Bernhard,Isaac Mizrahi,Naomi Campbell,Douglas Keeve,Richard LaGravenese
9560,Keanu Reeves,Aitana Sánchez-Gijón,Anthony Quinn,Alfonso Aráu,Robert Mark Kamen
9804,Kevin Costner,Chaim Girafi,Rick Aviles,Kevin Reynolds,Robert Mark Kamen
31611,John Travolta,Harry Belafonte,Kelly Lynch,Desmond Nakano,Robert Mark Kamen
65796,Jeff Bridges,Ellen Barkin,John Hurt,Walter Hill,Walter Hill
49805,Albert Finney,Greta Scacchi,Matthew Modine,Mike Figgis,Walter Hill
26258,Daniel Stern,Jon Polito,Brad Sullivan,Greg Beeman,Danny Byers
50797,Nikita Mikhalkov,Oleg Menshikov,Ingeborga Dapkunaite,Nikita Mikhalkov,Rustam Ibragimbekov
19155,Katrin Cartlidge,Rade Serbedzija,Grégoire Colin,Milčo Mančevski,Rustam Ibragimbekov
76,Ethan Hawke,Julie Delpy,Andrea Eckert,Richard Linklater,Richard Linklater
11017,Adam Sandler,Darren McGavin,Bridgette Wilson,Tamra Davis,Tim Herlihy
37141,Alicia Silverstone,Jeremy London,J.T. Walsh,Guy Ferland,Guy Ferland
9382,Whoopi Goldberg,Mary-Louise Parker,Drew Barrymore,Herbert Ross,Don Roos
6715,Brad Renfro,Joseph Mazzello,Annabella Sciorra,Peter Horton,Robert Kuhn
18256,Jeffrey Combs,Barbara Crampton,Jonathan Fuller,Stuart Gordon,Dennis Paoli
22625,Chris O'Donnell,Minnie Driver,Geraldine O'Rawe,Pat O'Connor,Dennis Paoli
2292,Brian O'Halloran,Jeff Anderson,Jason Mewes,Kevin Smith,Kevin Smith
1909,Johnny Depp,Marlon Brando,Faye Dunaway,Jeremy Leven,Jeremy Leven
8984,Michael Douglas,Demi Moore,Donald Sutherland,Barry Levinson,Paul Attanasio
61813,Patsy Kensit,Bruce Greenwood,Andrew McCarthy,René Bonnière,Paul Attanasio
4954,Wesley Snipes,Gary Busey,Yancy Butler,John Badham,Peter Barsocchini
62488,Dylan McDermott,Nancy Travis,James Le Gros,Jack Baran,Robert Ramsey
10531,Sigourney Weaver,Ben Kingsley,Stuart Wilson,Roman Polanski,Rafael Yglesias
11929,Kathy Bates,Jennifer Jason Leigh,Judy Parfitt,Taylor Hackford,Tony Gilroy
8467,Jim Carrey,Jeff Daniels,Lauren Holly,Peter Farrelly,Tony Gilroy
10451,Sihung Lung,Yu-Wen Wang,Jacklyn Wu ,Ang Lee,Ang Lee
20156,Bruce Greenwood,Mia Kirshner,Elias Koteas,Atom Egoyan,Ang Lee
18395,Dana Delany,Paul Mercurio,Rosie O'Donnell,Garry Marshall,Deborah Amelon
522,Johnny Depp,Martin Landau,Sarah Jessica Parker,Tim Burton,Scott Alexander
397,Meg Ryan,Kevin Kline,Timothy Hutton,Lawrence Kasdan,Adam Brooks
10525,Billy Crystal,Debra Winger,Joe Mantegna,Billy Crystal,Billy Crystal
27985,Mimi Rogers,Jesse Bradford,Bruce Davison,Phillip Borsos,Billy Crystal
15789,Bill Farmer,Jason Marsden,Rob Paulsen,Kevin Lima,Chris Matheson
27303,Jeff Goldblum,Christine Lahti,Alicia Silverstone,Brett Leonard,Andrew Kevin Walker
21183,Samuel L. Jackson,Matthew Modine,Nancy Travis,Carlo Carlei,Carlo Carlei
10954,Stefano Dionisi,Enrico Lo Verso,Elsa Zylberstein,Gérard Corbiau,Marcel Beaulieu
47867,Ted Manson,Afemo Omilami,,Mark Lewis,Marcel Beaulieu
43475,,,,Art Clokey,Marcel Beaulieu
72031,Ice Cube,Lori Petty,Erich Anderson,Charles Burnett,Ned Welsh
14275,William Gates,Arthur Agee,Steve James,Steve James,Ned Welsh
1024,Melanie Lynskey,Kate Winslet,Sarah Peirse,Peter Jackson,Peter Jackson
17207,Sinbad,Phil Hartman,Jeffrey Jones,Randall Miller,Peter Jackson
13701,Gary Oldman,Jeroen Krabbé,Isabella Rossellini,Bernard Rose,Peter Jackson
14819,Ben Stiller,Aaron Schwartz,Kenan Thompson,Steven Brill,Peter Jackson
32631,Christopher Lambert,John Lone,Joan Chen,J. F. Lawton,Peter Jackson
11777,Tim Robbins,Meg Ryan,Walter Matthau,Fred Schepisi,Michael J. Leeson
628,Brad Pitt,Tom Cruise,Kirsten Dunst,Neil Jordan,Anne Rice
87729,Nick Nolte,Greta Scacchi,Thandie Newton,James Ivory,Anne Rice
18713,John G. Brennan,Kamal Ahmed,Alan Arkin,James Melkonian,Anne Rice
6280,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,Ivan Reitman,Kevin Wade
9061,Sean Connery,Laurence Fishburne,Blair Underwood,Arne Glimcher,Peter Stone
37108,Thomas Ian Nicholas,Joss Ackland,Art Malik,Michael Gottlieb,Peter Stone
6071,David Caruso,Samuel L. Jackson,Nicolas Cage,Barbet Schroeder,Eleazar Lipsky
11,Mark Hamill,Harrison Ford,Carrie Fisher,George Lucas,Eleazar Lipsky
9587,Winona Ryder,Gabriel Byrne,Trini Alvarado,Gillian Armstrong,Robin Swicord
19101,Liesel Matthews,Eleanor Bron,Liam Cunningham,Alfonso Cuarón,Richard LaGravenese
49980,Crissy Rock,Vladimir Vega,Sandie Lavelle,Ken Loach,Richard LaGravenese
17961,Emmanuelle Béart,François Cluzet,Nathalie Cardone,Claude Chabrol,Richard LaGravenese
18183,Marco Leonardi,Lumi Cavazos,Regina Torné,Alfonso Aráu,Laura Esquivel
4476,Brad Pitt,Anthony Hopkins,Aidan Quinn,Edward Zwick,William D. Wittliff
11008,Damon Wayans,Orlando Brown,Michael Ironside,Nick Castle,Dean Lorey
47504,Edward Furlong,Tim Roth,Moira Kelly,James Gray,James Gray
32325,Angel Aviles,Seidy López,Jacob Vargas,Allison Anders,James Gray
43742,Warren Beatty,Annette Bening,Katharine Hepburn,Glenn Gordon Caron,Robert Towne
28313,Jessica Lange,Halle Berry,David Strathairn,Stephen Gyllenhaal,Naomi Foner Gyllenhaal
11318,Nigel Hawthorne,Helen Mirren,Ian Holm,Nicholas Hytner,Alan Bennett
3036,Robert De Niro,Kenneth Branagh,Tom Hulce,Kenneth Branagh,Frank Darabont
40490,Farrah Fawcett,Chevy Chase,Jonathan Taylor Thomas,James Orr,James Orr
24070,Steve Martin,Madeline Kahn,Robert Klein,Nora Ephron,Nora Ephron
8986,Melanie Griffith,Ed Harris,Michael Patrick Carter,Richard Benjamin,John Mattson
10510,Richard Attenborough,Elizabeth Perkins,Dylan McDermott,Les Mayfield,George Seaton
17402,Sarah Jessica Parker,Antonio Banderas,Mia Farrow,David Frankel,George Seaton
38722,Edward James Olmos,Jimmy Smits,Esai Morales,Gregory Nava,George Seaton
8438,Christian Slater,Kevin Bacon,Gary Oldman,Marc Rocco,Dan Gordon
11593,Paul Newman,Bruce Willis,Melanie Griffith,Robert Benton,Robert Benton
1945,Jodie Foster,Liam Neeson,Natasha Richardson,Michael Apted,William Nicholson
39310,Sharron Corley,Donald Faison,Christine Baranski,Nick Gomez,William Nicholson
109560,Toru Nakamura,Chad McQueen,Mira Sorvino,Tōru Murakawa,William Nicholson
56428,Elizabeth Hurley,Craig Fairbrass,Keith Allen,Vadim Jean,William Nicholson
63105,Sue Price,Chad Stahelski,Tina Cote,Albert Pyun,William Nicholson
131957,Laura San Giacomo,Michael O'Keefe,Paul Rhys,Alan Jacobs,William Nicholson
241,Woody Harrelson,Juliette Lewis,Robert Downey Jr.,Oliver Stone,Oliver Stone
9058,Marisa Tomei,Robert Downey Jr.,Bonnie Hunt,Norman Jewison,Diane Drake
527,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Lee Tamahori,Riwia Brown
18220,Alyssa Milano,Johnathon Schaech,Xander Berkeley,Anne Goursaud,Chloe King
6950,Dustin Hoffman,Rene Russo,Morgan Freeman,Wolfgang Petersen,Laurence Dworet
101,Jean Reno,Natalie Portman,Gary Oldman,Luc Besson,Luc Besson
63020,Marisa Tomei,Alfred Molina,Anjelica Huston,Mira Nair,Robin Swicord
2307,William Baldwin,John Leguizamo,Эрика Элениак,Joshua Brand,Morgan Ward
680,John Travolta,Samuel L. Jackson,Uma Thurman,Quentin Tarantino,Quentin Tarantino
41478,Kadeem Hardison,Bokeem Woodbine,Courtney B. Vance,Mario Van Peebles,Quentin Tarantino
25296,Sihung Lung,Wang Lai,Bo Z. Wang,Ang Lee,Quentin Tarantino
40156,Linus Roache,Tom Wilkinson,Robert Carlyle,Antonia Bird,Quentin Tarantino
11450,John Turturro,Rob Morrow,Ralph Fiennes,Robert Redford,Paul Attanasio
30304,Youki Kudoh,Akira Takayama,Tamlyn Tomita,Kayo Hatta,Kayo Hatta
10452,Isabelle Adjani,Daniel Auteuil,Jean-Hugues Anglade,Patrice Chéreau,Danièle Thompson
12106,Sharon Stone,Gene Hackman,Russell Crowe,Sam Raimi,Simon Moore
161495,Peter Falk,D. B. Sweeney,Julianne Moore,Peter Yates,Simon Moore
3586,Marcello Mastroianni,Sophia Loren,Jean-Pierre Cassel,Robert Altman,Robert Altman
